hotel_name,rating,review_count,hotel_rank,amenities,languages,hotel_class,price,best_price_source,restraunts_nearby,attractions_nearby,good_for_walkers_out_of_100,lat_long_link,best_features_as_per_reviews,city,cuisines,restaurant_names,lat,lon
London Comfy Guest House,1.0,1.0,832.0,[],['None'],[],,,61.0,13.0,89.0,"2-12 Cambridge Heath Rd, London E1 5QH England",['Service'],London,{},[],51.52042295,-0.05616710418665617
Kings Cross Apartment,1.0,1.0,831.0,[],['None'],[],12825.0,Hotels.com,196.0,37.0,100.0,"Pentonville Road, London N1 9JY England",[],London,{},[],51.5309437,-0.11992570000000001
Luxury Apartments In Kensington,1.0,1.0,830.0,[],['None'],[],,,108.0,28.0,100.0,"74 Kensington High Street, London W8 4PE England",[],London,{},[],51.5023183,-0.18918379999999999
The Old Vicarage London,1.0,1.0,430.0,[],['None'],[],,,53.0,2.0,36.0,"80 Tottenhall Road, London N13 6JB England",[],London,{},[],51.6117454,-0.09848960000000001
New Spacious Studio Zone 2,1.0,1.0,829.0,[],['None'],[],,,17.0,5.0,63.0,"89 Hermitage Road, London N4 1LU England",[],London,{},[],51.5753323,-0.0940615
Primestate Holborn Apartments,1.0,1.0,828.0,[],['None'],[],,,,,,,[],London,{},[],44.933143,7.540121000000001
The Grange,2.0,3.0,429.0,"['Free High Speed Internet (WiFi)', 'Baggage storage', 'Non-smoking hotel', 'Housekeeping']",['None'],[],,,123.0,12.0,75.0,"1A Elizabeth Road, London E6 1BW England","['Service', 'Value']",London,{},[],51.5369634,0.040627300000000005
Al Iram Guest House London,1.0,1.0,826.0,[],['None'],[],,,247.0,43.0,100.0,"Old Montague Street. 9 Regal Close, London E1 5JB England",[],London,{},[],,
London Victoria Apartment,1.0,1.0,827.0,[],['None'],[],,,281.0,31.0,100.0,"282 Vauxhall Bridge Road, London SW1V 1BB England",[],London,{},[],51.4947951,-0.1414011
Lordshiplane Shared House,1.0,1.0,825.0,[],['None'],[],,,76.0,6.0,50.0,"94 Lordship Lane, London N17 7QH England","['Service', 'Value']",London,{},[],51.457641,-0.07562763617308042
Aldgate Superior Apartments,1.0,1.0,823.0,[],['None'],[],,,231.0,27.0,100.0,"Commercial Road, London E1 1EG England","['Service', 'Value']",London,{},[],51.5149347,-0.0676573
Aldgate Rooms,1.0,1.0,824.0,[],['None'],[],,,82.0,8.0,100.0,"Flat 4 Shiraj Tower 201 Commercial Road, London E1 2BT England",[],London,{},[],,
Victoria Station Apartment,1.0,1.0,833.0,[],['None'],[],,,79.0,9.0,87.0,"63A Winchester Street Pimlico, London SW1V 4NU England",[],London,{},[],51.4899883,-0.1460115
The Selfridge,1.0,1.0,428.0,[],['None'],[],,,347.0,85.0,100.0,"Orchard Street, London W1H 6JS England",[],London,{},[],,
Axo New Cross,1.0,1.0,849.0,[],['None'],[],,,,,,,[],London,{},[],44.933143,7.540121000000001
OYO Home Canary Wharf 2 Bedroom Apartment,1.0,1.0,987.0,"['Room service', 'Kitchenette']",['None'],[],,,47.0,14.0,66.0,"Marsh Wall, Isle of Dogs, London E14 9SH England","['Location', 'Service']",London,{},[],51.500296500000005,-0.017499599999999997
OYO Home Canary Wharf,1.0,1.0,986.0,"['Free parking', 'Room service', 'Kitchenette']",['None'],[],,,139.0,11.0,100.0,"1, Isle of Dogs, London E14 9RU England",[],London,{},[],51.5047402,-0.019362900000000002
Access Camden,2.5,5.0,850.0,"['Free High Speed Internet (WiFi)', 'Wifi', 'Non-smoking hotel', 'Washing machine', 'Safe', 'Seating area', 'Separate dining area', 'Sofa', 'Kitchenette', 'Microwave', 'Flatscreen TV', 'Bath / shower', 'Iron', 'Refrigerator', 'Kitchenware', 'Family rooms']",['English'],[],,,295.0,78.0,100.0,"Kentish Town Road, London NW1 8NL England","['Location', 'Service', 'Value']",London,{},[],51.5409862,-0.14211479999999999
London Budget Maisonette,1.0,1.0,438.0,[],['None'],[],,,,,,,[],London,{},[],44.933143,7.540121000000001
Capital Stay London Excel,1.0,1.0,848.0,[],['None'],[],6815.0,Booking.com,36.0,3.0,85.0,London E16 1BQ England,"['Cleanliness', 'Service']",London,{},[],51.4893335,-0.14405508452768728
Grand Mill Premium Apartments,1.0,1.0,846.0,[],['None'],[],,,201.0,46.0,100.0,"Flat 1B 26 Argyle Square, London WC1H 8AP England",[],London,{},[],,
Regents Park One Apartments,2.0,3.0,844.0,"['Washing machine', 'Sofa', 'Clothes rack', 'Iron', 'Kitchenette', 'Dishwasher', 'Flatscreen TV', 'Complimentary toiletries', 'Hair dryer', 'Microwave', 'Refrigerator']","['English', 'Spanish', 'Italian', 'Lithuanian']",[],,,69.0,7.0,91.0,"Marlborough House 179 Finchley Road, London NW3 6LB England","['Location', 'Service', 'Value']",London,{},[],51.54590220000001,-0.17899533430537432
Lyndhurst Rooms,1.0,2.0,437.0,[],['None'],[],,,175.0,24.0,60.0,"43 Lyndhurst Grove Southwark, London SE15 5AN England","['Cleanliness', 'Service', 'Value']",London,{},[],51.47019985,-0.07972812920181202
Manna Ash House,2.5,9.0,845.0,[],['None'],[],,,142.0,22.0,100.0,"Manna Ash House 8-20 Pocock Street, London SE1 0BW England","['Location', 'Cleanliness', 'Service', 'Value']",London,{},[],,
Access Bloomsbury,2.0,3.0,843.0,"['Free High Speed Internet (WiFi)', 'Wifi', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', '24-hour front desk', 'Washing machine', 'Additional bathroom', 'Seating area', 'Sofa', 'Kitchenette', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Bath / shower', 'Kitchenware', 'Family rooms']",['English'],[],,,170.0,61.0,100.0,"32 Burton Street, London WC1H 9AQ England","['Location', 'Service']",London,{},[],51.525828499999996,-0.1274026
Tower Bridge City Apartments,1.0,1.0,842.0,[],['None'],[],,,135.0,39.0,100.0,"Terracotta Court 167 Tower Bridge Road, London SE1 3LN England","['Service', 'Value']",London,{},[],,
Caledonian Studio Flats,2.0,3.0,435.0,"['Parking', 'Free High Speed Internet (WiFi)', 'Outdoor pool', 'Baggage storage', 'Non-smoking hotel', 'Laundry service', 'Kitchenette']",['None'],[],6690.0,Booking.com,38.0,3.0,91.0,"287 Caledonian Road, London N1 1EG England","['Location', 'Service', 'Value']",London,{},[],51.54051485,-0.11712012628813954
Apple Apartments Richmond,1.0,2.0,839.0,[],['None'],[],,,100.0,11.0,72.0,"The Globe House 1 Chertsey Road, London E11 4DG England","['Location', 'Service', 'Value']",London,{},[],,
Angel Apartments,2.0,2.0,840.0,"['Bar / lounge', 'Children Activities (Kid / Family Friendly)']",['None'],[],,,128.0,25.0,99.0,"Penton Street, London N1 9PT England","['Location', 'Service']",London,{},[],51.5325248,-0.111373
Kings Scholars - Mayfairstay,1.0,1.0,869.0,[],['None'],[],,,,,,,"['Cleanliness', 'Service', 'Value']",London,{},[],44.933143,7.540121000000001
Valet Apartments Old Compton Street,2.5,4.0,868.0,[],['None'],[],15238.0,Booking.com,1171.0,414.0,100.0,"33 Old Compton Street Westminster Borough, London W1D 5JU England",['Service'],London,{},[],51.513683,-0.1299958
Camden Town Residence,1.5,5.0,867.0,[],['None'],[],,,139.0,39.0,100.0,"225-227 Royal College Street Camden Town, London NW1 9LT England","['Location', 'Cleanliness', 'Service', 'Value']",London,{},[],51.54214885,-0.13891152102076326
Woogo - Kensington Palace,1.5,7.0,838.0,[],['None'],[],,,107.0,28.0,100.0,"Prince of Wales Terrace, London W8 7EE England","['Location', 'Cleanliness', 'Service', 'Value']",London,{},[],51.5014646,-0.18665620000000002
